# 参考音频配置文件
# 格式：style|编号|文本
# 小于3秒的音频不要加入
question|130|不好说啊，杜哥说正事，怎么样？
strong|5|老天师，武当王也，拜见老天师。
strong|15|阴手，逮到你了。
strong|29|这话我只说一次，回去吧，诸葛卿，这对你来说是最好的结果。
strong|113|我来给您打个招呼，不用因为诸葛清的事儿头疼，您看对阵表，他这不犯在我手上吗？
strong|114|要说统帅正一的天师府的天师，去阴一个武侯派的小辈儿。
strong|115|老天师，千万别，别说做，想都别想。
strong|116|影响天师府的声誉自不必说，连个人的命运也会就此发生转折。
strong|117|您这一劫应在诸葛清的身上了，他的麻烦，我会处理。
strong|119|您不说我也知道，我师傅不待见我。
strong|120|成吧，那就得罪了。
strong|121|是，老天师，晚辈告辞了。
strong|123|跟了一路始终逮不着机会，以为我快点到家了就会松懈。
strong|126|脾胃虚弱，神经衰弱、抑郁失眠。您这相关的药物是一个也没见着啊。
strong|128|您这气色，谁脾胃虚弱，谁失眠，都轮不着您呐
strong|131|别打听，而且什么细节都别问。
strong|132|这样你还愿意帮我吗？雇俩圈里人，暗中照看每个家庭成员，但是不能让他们知道。
strong|133|一般人身手再好也不管用，一定得是圈儿里人，啊，没想到我也有为钱发愁的一天呐。
strong|136|咱们也被人盯上了，盯哨的人就在附近。
